"timestamp","acceleration_x","acceleration_y","acceleration_z","gyroscope_x","gyroscope_y","gyroscope_z"
1.989746100E-2,-1.114059389E-1,-7.794559002E-3,-5.579972267E-2,-7.413101196E-2,1.141738892E-1,3.357315063E-2
3.479003900E-2,-8.627955119E-2,1.585721970E-3,2.975877126E-2,-4.030354818E-2,7.636006673E-2,-1.178995768E-2
4.971313500E-2,2.180126508E-1,2.185837428E-2,1.555665334E-1,-4.776000977E-2,1.280212402E-2,9.969075521E-4
6.460571300E-2,3.059625228E-1,6.989304225E-2,-5.694548289E-2,-4.989115397E-2,-2.164204915E-2,3.544108073E-2
7.946777300E-2,1.691513062E-1,7.424847285E-2,-1.158014933E-1,-3.000895182E-2,-1.347859701E-2,2.975463867E-2
9.436035100E-2,5.295304457E-2,-1.384870211E-2,4.550774892E-2,-5.308532715E-2,3.445943197E-2,1.697285970E-2
1.092529300E-1,-8.178424835E-2,-6.844385465E-2,1.070721944E-2,-8.433532715E-2,8.381652832E-2,1.484171549E-2
1.241760250E-1,-1.149708033E-1,-3.165705999E-2,-3.157456716E-2,-7.013448079E-2,8.346048991E-2,9.872436523E-3
1.390686030E-1,-5.287281672E-2,2.290781339E-2,2.038701375E-2,-5.628458659E-2,5.434672038E-2,1.306660970E-2
1.539611820E-1,-7.720788320E-2,7.059661547E-2,8.842976888E-2,-6.019083659E-2,3.232828776E-2,1.909891764E-2
1.688842770E-1,-7.291781902E-2,8.519474665E-2,7.806173960E-2,-6.231689453E-2,1.421610514E-2,1.058451335E-2
1.837768550E-1,3.004113833E-2,8.209689458E-2,2.535311381E-2,-6.552124023E-2,1.525878906E-5,-1.846313477E-3
1.986694330E-1,1.194967031E-1,4.485829671E-2,-1.932207743E-2,-7.226053874E-2,4.989624023E-3,5.254109701E-3
2.135620120E-1,6.133933862E-2,3.455495834E-2,-3.975613912E-2,-8.007303874E-2,3.055318197E-2,1.058451335E-2
2.284545900E-1,-8.880809943E-2,2.676447233E-2,-2.172438304E-2,-9.001668294E-2,6.144714355E-2,4.191080729E-3
2.433471680E-1,-1.596027215E-1,1.448694865E-2,-4.152520498E-2,-9.782918294E-2,6.499735514E-2,1.703898112E-3
2.582702640E-1,-7.733710607E-2,-2.929449081E-3,2.164363861E-2,-1.010284424E-1,3.019714355E-2,4.191080729E-3
2.731628420E-1,5.012977123E-2,3.539562225E-2,-2.081235250E-3,-9.960428874E-2,-2.128601074E-2,8.448282878E-3
2.880554200E-1,9.620014826E-2,1.174662113E-1,-2.934392293E-2,-8.575439453E-2,-5.324300130E-2,1.555379232E-2
3.029479980E-1,1.170288722E-1,1.065937678E-1,-1.551310221E-2,-8.575948079E-2,-3.371175130E-2,1.697794596E-2
3.178710940E-1,5.039338271E-2,1.123944918E-2,-6.262652079E-2,-9.569803874E-2,-3.458658854E-4,7.741292318E-3
3.327636720E-1,1.195653280E-2,-3.349224726E-3,-1.021563212E-1,-9.356689453E-2,2.735900879E-2,5.259195964E-3
3.476562500E-1,-2.436157068E-2,1.710398992E-2,-1.363935471E-1,-9.001668294E-2,5.079142253E-2,1.129150391E-2
3.625488280E-1,-1.013688644E-1,2.040902774E-2,-1.262337367E-1,-8.824157715E-2,5.150349935E-2,1.874796549E-2
3.774414060E-1,-1.202578147E-1,-1.884452502E-2,-1.547396978E-1,-8.398437500E-2,2.806599935E-2,1.874287923E-2
3.923645020E-1,-2.483352025E-2,-8.601260185E-2,-1.436131795E-1,-7.901000977E-2,-6.729125977E-3,2.123006185E-2
4.072570800E-1,9.510735671E-2,-1.066176891E-1,-1.935011546E-1,-6.694030762E-2,-2.448527018E-2,3.330993652E-2
4.221496580E-1,1.261033217E-1,-7.621606191E-2,-1.497901281E-1,-5.095926921E-2,-1.738484701E-2,4.182434082E-2
4.370422360E-1,1.862776279E-2,-3.009780248E-2,-1.741015116E-1,-2.964782715E-2,-2.115885417E-3,3.863016764E-2
4.519348140E-1,-8.708222707E-2,-2.213231723E-2,-1.604197820E-1,-1.687113444E-2,2.558390299E-2,3.081766764E-2
4.668579100E-1,-1.545453866E-1,-4.911526044E-2,-1.109838486E-1,-1.154581706E-2,3.872172038E-2,2.584838867E-2
4.817504880E-1,-1.900128126E-1,-5.518937111E-2,-6.139691671E-2,-5.859375000E-3,2.238464355E-2,1.661682129E-2
4.966430660E-1,-7.847793897E-2,-5.909530322E-2,-3.003470103E-2,7.629394531E-3,-7.080078125E-3,9.516398112E-3
5.115356440E-1,3.700999419E-2,-1.687574387E-2,-5.099264781E-2,2.325439453E-2,-2.839152018E-2,1.022847493E-2
5.264587400E-1,-3.393260638E-2,3.723462423E-2,-3.760655721E-2,2.893575033E-2,-9.572347005E-3,1.165262858E-2
5.413513180E-1,-1.808917920E-1,-8.441289266E-3,-3.711032867E-2,2.467854818E-2,2.593485514E-2,4.191080729E-3
5.562438960E-1,-1.866827806E-1,-5.022859573E-2,4.664357503E-2,1.757303874E-2,4.084777832E-2,-7.888793945E-3
5.711364750E-1,-6.964317958E-2,6.160306931E-2,-1.513799032E-3,2.254740397E-2,1.493326823E-2,-5.752563477E-3
5.860595700E-1,3.260191282E-2,9.753131866E-2,-1.054827372E-2,3.284200033E-2,1.525878906E-5,3.122965495E-3
6.009521480E-1,7.706785202E-2,1.322380702E-2,9.094778697E-2,2.645365397E-2,-6.022135417E-3,9.918212891E-4
6.158447260E-1,1.019239426E-3,-8.715629578E-3,7.890860240E-2,9.053548177E-3,3.565470378E-3,-9.307861328E-3
6.307373050E-1,-1.753071944E-2,5.862236023E-3,-8.884112040E-3,6.215413411E-3,2.344767253E-2,-1.072184245E-2
6.456298830E-1,1.647226016E-2,1.872022947E-2,5.922444661E-2,9.404500326E-3,3.232828776E-2,2.848307292E-4
6.605529780E-1,-1.340313752E-2,2.290113767E-2,5.031776428E-2,8.799235026E-4,2.913411458E-2,7.736206055E-3
6.754455570E-1,1.266165574E-2,-4.250605901E-2,7.800738017E-3,1.678466797E-4,2.842203776E-2,4.898071289E-3
6.903381350E-1,9.868013859E-2,9.285608927E-4,4.487864176E-2,-4.796346029E-3,1.067097982E-2,7.385253906E-3
7.052307130E-1,1.276411215E-1,1.630202929E-2,-4.599889119E-3,-7.990519206E-3,3.209431966E-3,1.271565755E-2
7.201538080E-1,9.731451670E-2,1.160105069E-2,-5.843353271E-2,1.780192057E-4,4.984537760E-3,1.448567708E-2
7.350463870E-1,9.081089497E-2,1.369388898E-2,4.230848948E-2,-5.340576172E-4,1.279703776E-2,1.590983073E-2
7.499389650E-1,3.567767143E-2,1.888593038E-2,3.214422862E-2,-5.152384440E-3,1.599629720E-2,1.946004232E-2
7.648315430E-1,-9.422620138E-3,-6.306330363E-3,2.385203044E-2,1.597086589E-3,1.741536458E-2,2.052307129E-2
7.797546390E-1,-4.537717501E-2,4.888844490E-2,7.386016846E-2,5.147298177E-3,-2.471923828E-3,1.945495605E-2
7.946472170E-1,-1.750822862E-2,6.829229991E-2,2.772967021E-3,6.927490234E-3,-1.738484701E-2,2.336120605E-2
8.095397950E-1,9.115417798E-3,3.026008606E-2,2.750587463E-2,1.012166341E-2,-2.271525065E-2,2.336120605E-2
8.244323730E-1,1.038547357E-2,8.925596873E-3,3.015454610E-2,4.435221354E-3,-2.909851074E-2,1.839192708E-2
8.393249510E-1,6.482597192E-2,-1.394097010E-2,-7.593250275E-2,3.728230794E-3,-1.454162598E-2,1.626586914E-2
8.542175290E-1,2.806556225E-2,-1.494487127E-2,-9.196821849E-2,7.629394531E-3,1.031494141E-2,1.412963867E-2
8.691406250E-1,-5.419007937E-2,-1.455116272E-2,-1.422478358E-1,1.953125000E-3,2.913411458E-2,9.872436523E-3
8.840332030E-1,-1.983342171E-1,1.873493195E-2,-1.312545141E-1,-2.665201823E-3,3.552246094E-2,1.412963867E-2
8.989257810E-1,-2.058581909E-1,-9.705464045E-3,-1.710637410E-2,-1.597086589E-3,1.564025879E-2,1.803588867E-2
9.138183590E-1,-9.764703115E-2,-5.326485634E-2,1.956208547E-2,-1.958211263E-3,-2.732849121E-2,1.697285970E-2
9.287414550E-1,8.393875758E-2,-6.400688489E-2,6.144777934E-2,7.273356120E-3,-5.928548177E-2,1.377360026E-2
9.436340330E-1,1.757247845E-1,2.620935440E-3,7.338078817E-2,1.828511556E-2,-5.999247233E-2,1.341756185E-2
9.585266110E-1,1.645355225E-1,2.300588290E-2,-2.634525299E-2,2.325439453E-2,-1.774088542E-2,7.385253906E-3
9.734191890E-1,7.223733266E-2,-1.823584239E-3,-3.754901886E-2,1.686604818E-2,3.978983561E-2,2.848307292E-4
9.883422850E-1,-6.028970083E-2,-2.199093501E-3,-2.602704366E-2,5.340576172E-4,8.026123047E-2,-2.558390299E-3
1.003234863E0,-1.181985935E-1,-2.539451917E-2,-1.304944356E-2,-3.733317057E-3,8.417256673E-2,-3.626505534E-3
1.018127441E0,-4.447805882E-2,3.634723028E-2,1.564439138E-2,-1.831054688E-4,4.688517253E-2,-1.846313477E-3
1.033020019E0,5.190173785E-2,6.698377927E-2,7.605425517E-2,5.147298177E-3,-5.310058594E-3,5.254109701E-3
1.047912598E0,1.420732339E-1,9.448019663E-2,5.883407593E-2,9.404500326E-3,-3.193664551E-2,9.872436523E-3
1.062805176E0,1.540384690E-1,1.023129622E-1,7.333914439E-2,7.990519206E-3,-2.342224121E-2,7.736206055E-3
1.077728271E0,8.359495799E-2,6.753834089E-2,3.859837850E-2,-8.900960286E-4,8.178710938E-3,7.736206055E-3
1.092620850E0,1.067399979E-3,3.292640050E-2,5.093352000E-2,-7.283528646E-3,4.440307617E-2,7.736206055E-3
1.107513428E0,-1.986050606E-2,1.714483897E-2,4.460048676E-2,-1.367696126E-2,5.150858561E-2,3.479003906E-3
1.122406006E0,5.262116591E-2,4.695248604E-2,2.294095357E-2,-1.261393229E-2,3.161621094E-2,6.322224935E-3
1.137329101E0,1.363120079E-1,6.116517385E-2,5.521265666E-2,-1.118977865E-2,1.315307617E-2,1.590474447E-2
1.152221680E0,1.194382509E-1,4.730494817E-2,4.905637105E-2,-1.296488444E-2,7.832845052E-3,2.159118652E-2
1.167114258E0,3.756324450E-3,4.578487078E-2,2.523803711E-2,-1.722208659E-2,2.415974935E-2,2.016703288E-2
1.182006836E0,-1.351435979E-2,1.005482674E-2,-7.541338603E-3,-1.899719238E-2,3.659057617E-2,1.555379232E-2
1.196929932E0,3.633618355E-2,1.069053014E-2,-6.880060832E-2,-1.935831706E-2,2.735900879E-2,1.590983073E-2
1.211822510E0,9.214405219E-2,1.838739713E-2,-1.170021693E-1,-1.616414388E-2,1.741536458E-2,2.052307129E-2
1.226715088E0,1.091707548E-1,-3.055516879E-2,-8.056672414E-2,-2.255249023E-2,1.847839355E-2,2.194722493E-2
1.241607666E0,4.989063740E-2,-7.906635602E-2,-7.061131795E-2,-3.497823079E-2,3.375244141E-2,1.697285970E-2
1.256500244E0,4.506071409E-2,-5.321232478E-2,-1.757879257E-1,-3.852335612E-2,5.008443197E-2,1.377360026E-2
1.271423340E0,4.731309414E-2,-2.171309789E-2,-1.899801890E-1,-3.427124023E-2,6.002298991E-2,2.301025391E-2
1.286315918E0,-9.266018867E-3,-5.347816149E-2,-1.464316050E-1,-4.456583659E-2,6.996663411E-2,2.904764811E-2
1.301208496E0,-5.870803197E-2,-1.594075362E-1,-9.601751963E-2,-5.948384603E-2,7.458496094E-2,2.975463867E-2
1.316101074E0,-7.077260812E-2,-1.384313107E-1,-1.013170878E-1,-6.089782715E-2,7.316589355E-2,3.685506185E-2
1.330993652E0,-6.488911311E-2,-4.593054454E-2,-1.061709722E-1,-5.628967285E-2,8.417256673E-2,5.958557129E-2
1.345916748E0,-1.328430573E-1,-4.001720746E-2,-9.100468953E-2,-5.805969238E-2,9.979248047E-2,7.556152344E-2
1.360809326E0,-1.485964855E-1,-3.268329302E-2,-7.281970978E-2,-6.480407715E-2,1.122182210E-1,7.840474447E-2
1.375701904E0,-1.034791867E-1,-2.049811681E-2,-6.346384684E-3,-6.516011556E-2,1.253611247E-1,7.982381185E-2
1.390594482E0,-1.500645081E-1,2.575016022E-2,-4.637400309E-3,-5.948384603E-2,1.335296631E-1,8.479817708E-2
1.405517578E0,-1.311519543E-1,6.263899803E-2,-4.510529836E-2,-5.202229818E-2,1.420491536E-1,7.982381185E-2
1.420410156E0,-1.096899509E-1,4.670858383E-2,-2.751986186E-2,-4.598999023E-2,1.452484131E-1,7.307434082E-2
1.435302734E0,-1.009480953E-1,4.402542114E-2,-9.227116903E-3,-4.811604818E-2,1.427663167E-1,6.703694661E-2
1.450195312E0,-4.065831502E-2,3.174122175E-2,-1.104602814E-1,-3.782145182E-2,1.370798747E-1,5.958048503E-2
1.465087891E0,3.232518832E-2,-7.206439972E-3,-1.690120697E-1,-2.326456706E-2,1.363677979E-1,6.313578288E-2
1.480010986E0,-5.102594694E-2,-6.757275263E-2,-2.673645020E-1,-2.539062500E-2,1.537679036E-1,6.916809082E-2
1.494903564E0,-4.211974144E-2,-1.362891197E-1,-4.360303879E-1,-1.722717285E-2,1.857248942E-1,7.946777344E-2
