"timestamp","linear_acceleration x","linear_acceleration y","linear_acceleration z","gyroscope x","gyroscope y","gyroscope z","acceleration x","acceleration y","acceleration z"
6.246948300E-2,-7.812559605E-4,-2.228634119E-1,3.970109940E-1,8.679199219E-2,-6.730041504E-2,3.884582520E-2,4.635009766E-1,1.565304565E0,8.948403931E0
8.236694400E-2,1.648386717E-1,1.109417677E-1,-7.945728302E-2,-4.545974731E-2,-8.924484253E-2,2.137756348E-2,6.411552429E-1,1.578830719E0,9.825164795E0
1.022338870E-1,4.298491031E-2,-1.246672869E-1,5.395896435E-1,-1.663665771E-1,-7.273101807E-2,-1.724243164E-2,2.999763489E-1,9.024658203E-1,1.056077957E1
1.221008300E-1,-1.247510612E-1,-1.871438026E-1,8.040714264E-1,-9.126663208E-2,-8.578109741E-2,-2.416610718E-2,2.353363037E-1,8.910942078E-1,9.832344055E0
1.419677740E-1,-1.791861653E-1,1.929304004E-1,2.811107635E-1,-1.989364624E-2,-1.624832153E-1,-2.256774902E-2,4.466247559E-1,1.258602142E0,9.204463959E0
1.618347170E-1,-4.741527140E-3,3.949013650E-1,-2.116665840E-1,-1.514511108E-1,-2.224006653E-1,-2.735900879E-2,4.322586060E-1,1.109565735E0,9.710235596E0
1.817016600E-1,2.399133518E-1,6.988343596E-2,2.493138313E-1,-3.202934265E-1,-2.146797180E-1,-3.881072998E-2,2.503013611E-1,8.899002075E-1,1.028843689E1
2.015686040E-1,2.466440573E-1,-6.380912662E-2,8.418455124E-1,-3.011207581E-1,-1.259956360E-1,-5.426025391E-2,1.653060913E-1,1.165229797E0,1.000831604E1
2.214355470E-1,1.276256442E-1,1.278647780E-1,3.725306988E-1,-2.036476135E-1,-7.752990723E-2,-5.426025391E-2,2.987823486E-1,1.514781952E0,9.395999908E0
2.413024900E-1,2.248061746E-1,2.068531364E-1,-2.579700947E-1,-2.715568542E-1,-4.290771484E-2,-5.932235718E-2,6.106262207E-1,1.265789032E0,9.617462158E0
2.611694340E-1,1.515442878E-1,2.863304764E-1,2.072720528E-1,-3.988533020E-1,-1.627349854E-2,-9.127807617E-2,7.488899231E-1,9.599304199E-1,1.037462997E1
2.810363770E-1,-6.685785949E-2,4.842674732E-1,6.710147858E-1,-4.049835205E-1,2.740478516E-2,-1.083183289E-1,6.656951904E-1,1.062282562E0,1.024354553E1
3.009033200E-1,-1.285068691E-1,5.808686763E-1,2.147128582E-1,-4.156379700E-1,-7.484436035E-3,-9.526824951E-2,7.255477905E-1,1.164630890E0,9.527084351E0
3.207702640E-1,1.186776757E-1,7.470144928E-1,-2.021861076E-1,-5.557212830E-1,-2.905654907E-2,-7.423400879E-2,7.644538879E-1,1.170021057E0,9.670131683E0
3.406372070E-1,3.035560995E-1,1.063780040E0,1.021504402E-1,-6.915435791E-1,1.701736450E-2,-8.940887451E-2,5.370063782E-1,1.305892944E0,1.038839340E1
