"timestamp","linear_acceleration x","linear_acceleration y","linear_acceleration z","gyroscope x","gyroscope y","gyroscope z","acceleration x","acceleration y","acceleration z"
1.187133800E-2,-4.382495880E-2,-2.890622616E-2,-9.653244019E-2,-8.078575134E-2,-1.106262207E-3,-5.755805969E-2,1.102333069E0,1.089452744E0,9.809787750E0
3.158569400E-2,-1.234563291E-1,-6.319424510E-2,-1.705327034E-1,-8.567810059E-2,-3.652736119E-2,-6.644330706E-2,1.007374355E0,1.082059588E0,9.598630633E0
5.126953200E-2,2.085548639E-2,-1.335994601E-1,-1.066858768E-1,-7.319641113E-2,-1.028769357E-1,-6.430925642E-2,9.102412633E-1,9.886779785E-1,9.505597796E0
7.098388700E-2,1.252964139E-1,-1.853536963E-1,1.003265381E-3,-5.250331334E-2,-1.520298549E-1,-6.233433315E-2,1.045682635E0,8.768397740E-1,9.503546579E0
9.066772500E-2,1.602693200E-1,-1.569414139E-1,1.623749733E-2,-1.704406738E-2,-1.345302037E-1,-6.248474121E-2,1.186595372E0,7.916739328E-1,9.588027954E0
1.103820810E-1,2.214203477E-1,-1.055216193E-1,1.994898319E-1,1.765223912E-2,-9.496198382E-2,-5.579049247E-2,1.272445679E0,7.643105643E-1,9.622571673E0
1.300659180E-1,1.593382061E-1,-4.659725726E-2,2.296576500E-1,2.024405343E-2,-4.641941616E-2,-3.859601702E-2,1.368896484E0,7.656794957E-1,9.734076364E0
1.497802740E-1,2.984029055E-2,5.469888449E-3,9.500384331E-2,2.800423758E-2,3.241184780E-2,-4.026576451E-2,1.415758405E0,8.405827114E-1,9.869855608E0
1.694641120E-1,-2.151587605E-2,-3.895263374E-2,-2.749300003E-2,2.511160714E-2,5.371747698E-2,-4.209463937E-2,1.338801793E0,8.645259312E-1,9.866095407E0
1.891784670E-1,4.801461101E-2,-2.671101689E-2,-2.569627762E-2,1.141575405E-2,1.034545898E-2,-3.037588937E-2,1.223199027E0,9.182259696E-1,9.770669120E0
2.088623050E-1,2.528013885E-1,3.327399492E-3,1.647937298E-1,8.069719587E-3,-4.489571708E-2,-1.698085240E-2,1.187619890E0,8.604191371E-1,9.643092564E0
2.285766610E-1,1.495886147E-1,-1.174333692E-2,1.316282749E-1,3.657749721E-3,-4.915945871E-2,-1.637268066E-2,1.250217983E0,8.720506941E-1,9.642750331E0
2.482604990E-1,-4.524266720E-2,4.200318456E-2,-7.334160805E-2,0.000000000E0,5.112784249E-2,-1.317923410E-2,1.463300432E0,9.124101911E-1,9.808635167E0
2.679748540E-1,-1.472712159E-1,1.858080924E-2,-1.580474377E-1,-5.931309291E-3,1.345236642E-1,-1.165771484E-2,1.468771798E0,8.881247384E-1,9.892432077E0
2.876586920E-1,-9.330466390E-2,5.755963922E-2,-1.364357471E-1,-2.662876674E-2,1.091090611E-1,-8.762904576E-3,1.253633772E0,9.267752511E-1,9.715602330E0
3.073730470E-1,4.705557227E-2,4.474849999E-2,-4.935908318E-2,-2.967398507E-2,2.921186175E-2,3.714425223E-3,1.112034389E0,9.343000140E-1,9.561689104E0
3.270874030E-1,1.273744702E-1,4.019433260E-2,3.264808655E-2,-3.439331055E-2,-6.605093820E-2,9.948730469E-3,1.043633597E0,9.226706369E-1,9.550750732E0
3.467712410E-1,-1.140522957E-2,9.154367447E-2,3.875494003E-2,-3.773716518E-2,-9.709603446E-2,9.645734515E-3,1.128795079E0,9.589255197E-1,9.563060216E0
3.664855960E-1,-1.115280390E-1,1.013454795E-1,-3.683018684E-2,-3.956604004E-2,-5.281066895E-2,7.516043527E-3,1.278603690E0,9.342978341E-1,9.631123134E0
3.861694340E-1,-1.703956723E-1,9.603621066E-2,-4.841709137E-2,-2.754429408E-2,3.530447824E-2,-3.967285156E-4,1.367876325E0,9.301975795E-1,9.713211060E0
4.058837900E-1,-1.451370418E-1,1.490690857E-1,-1.020684242E-1,-2.997698103E-2,5.904279436E-2,-2.679007394E-3,1.243375506E0,9.561898368E-1,9.721420288E0
4.255676270E-1,-1.027749181E-1,1.668262780E-1,-1.304037571E-1,-3.682599749E-2,1.916939872E-2,-6.997244699E-4,1.135290963E0,9.996272496E-1,9.663275582E0
4.452819830E-1,9.684950113E-3,1.134134829E-1,-1.858615875E-2,-3.576442174E-2,-1.841735840E-2,-5.262102400E-3,1.060045515E0,9.705548968E-1,9.651988438E0
4.649658210E-1,-6.475824118E-2,5.064380169E-2,-9.581542015E-2,-4.138619559E-2,-4.261343820E-2,-1.515633719E-2,1.026530675E0,9.989384242E-1,9.622916085E0
4.846496590E-1,-2.756302655E-1,9.631568193E-2,-1.815960407E-1,-4.869515555E-2,-4.291861398E-2,-2.048601423E-2,1.074752808E0,1.026990618E0,9.534672328E0
5.043640140E-1,-3.499833345E-1,2.180307657E-1,-1.761662960E-1,-6.437247140E-2,-2.922276088E-2,-3.311375209E-2,1.119219099E0,1.062220982E0,9.573660714E0
5.240478520E-1,-1.238532364E-1,2.110248655E-1,-1.320149899E-1,-6.132507324E-2,7.910592215E-3,-3.752572196E-2,1.230717250E0,9.808175223E-1,9.658142090E0
5.437622070E-1,-3.187142015E-1,2.515256107E-1,-1.719632149E-1,-5.965096610E-2,6.038120815E-4,-4.452732631E-2,1.160603115E0,9.103546143E-1,9.585974557E0
5.634460450E-1,-4.737579226E-1,1.166100353E-1,-8.856499195E-1,-6.634957450E-2,-4.931204660E-2,-6.233215332E-2,9.704350063E-1,9.507184710E-1,9.491574969E0
5.831604010E-1,-1.049720436E0,2.328667790E-1,-9.957101345E-1,-9.023829869E-2,-1.106392997E-1,-9.109497070E-2,8.284933908E-1,1.038277762E0,9.476527623E0
6.028747560E-1,-9.705982506E-1,2.448909283E-1,-8.745169640E-2,-1.118512835E-1,-9.055001395E-2,-1.294468471E-1,9.752240862E-1,1.086162022E0,9.469000680E0
6.225891120E-1,-1.105909020E0,3.880110979E-1,4.590752125E-1,-1.031777518E-1,2.328055246E-2,-1.921452114E-1,1.063465663E0,1.059823172E0,9.583241054E0
6.422729500E-1,-1.581169844E0,6.147247553E-2,-8.979964256E-1,-9.815325056E-2,5.204119001E-2,-2.397766113E-1,8.671417236E-1,1.038960048E0,9.360578265E0
6.619873050E-1,-1.653208405E0,1.514372081E-1,-1.153391361E0,-4.534912109E-2,-1.231166295E-1,-2.857339042E-1,5.507659912E-1,9.890223912E-1,8.544839042E0
6.816711430E-1,-1.213991642E0,3.321798593E-1,-7.292604446E-1,-1.148965018E-1,-3.760441371E-1,-3.394513811E-1,1.177586147E-1,1.048195975E0,8.636502947E0
7.013549810E-1,-5.686264932E-1,5.467510223E-1,-4.003465176E-1,-1.424407959E-1,-4.938289097E-1,-4.233071463E-1,2.285744803E-1,1.043402536E0,9.398204259E0
7.210693360E-1,-3.169793785E-1,4.897897989E-1,-2.460353374E-1,-2.290278843E-1,-6.111602783E-1,-4.943738665E-1,2.063424247E-1,1.243835449E0,1.016776603E1
7.407836920E-1,-2.507181168E-1,3.361423165E-1,-7.624466419E-1,-2.191380092E-1,-9.065464565E-1,-5.101994106E-1,-1.442347935E-1,9.681570871E-1,9.075670515E0
7.604675300E-1,1.925003529E-1,4.779610187E-1,-5.926916599E-1,-2.098563058E-1,-1.161141532E0,-5.744214739E-1,-3.131975446E-1,8.077479771E-1,8.281818935E0
7.801513680E-1,1.067432582E0,1.853036582E-1,-2.138760090E-1,-1.718096052E-1,-1.148356846E0,-6.853615897E-1,9.655107771E-2,1.015016828E0,8.442914690E0
