"timestamp","linear_acceleration x","linear_acceleration y","linear_acceleration z","gyroscope x","gyroscope y","gyroscope z","acceleration x","acceleration y","acceleration z"
1.675415000E-2,-4.306921959E-2,3.980159760E-2,-1.131965637E-1,-4.921150208E-2,-6.058502197E-2,-4.229736328E-2,1.010452271E0,4.606536865E0,8.497169495E0
3.646850600E-2,1.231301725E-1,1.380109787E-2,1.575589180E-2,-6.108529227E-2,-1.380637033E-1,-3.352573940E-2,9.776175363E-1,4.638471331E0,8.360486712E0
5.615234400E-2,3.082485795E-1,-9.488821030E-3,1.785664558E-1,-5.255998884E-2,-1.321302141E-1,-2.774483817E-2,1.108274187E0,4.636420114E0,8.425813947E0
7.583618200E-2,2.612959146E-1,-2.401053905E-2,1.339788437E-1,-5.423191616E-2,-5.208042690E-2,-1.998029436E-2,1.391132900E0,4.606661115E0,8.634451730E0
9.555053700E-2,4.962727427E-2,1.519441605E-2,-2.673029900E-2,-4.464285714E-2,4.105486189E-2,-1.252528599E-2,1.521787371E0,4.583064488E0,8.684385027E0
1.152343750E-1,-1.266307533E-1,2.003109455E-2,-1.747372150E-1,-4.083905901E-2,7.179260254E-2,-2.790178571E-3,1.428412301E0,4.547491891E0,8.625555856E0
1.349487300E-1,-8.480015397E-2,-2.312266827E-2,-7.494759560E-2,-3.095136370E-2,2.979169573E-2,6.343296596E-3,1.204040527E0,4.631971087E0,8.468906948E0
1.546325680E-1,1.038239300E-1,3.453814983E-2,1.957321167E-2,-2.075413295E-2,-2.149309431E-2,1.775905064E-2,1.105880737E0,4.575195312E0,8.346803938E0
1.743469240E-1,1.279839277E-1,1.407556534E-1,4.242229462E-2,-7.513863700E-3,-1.753888811E-2,2.064732143E-2,1.133241926E0,4.551596505E0,8.452490670E0
1.940612790E-1,-2.380275726E-2,9.492516518E-2,-2.291226387E-2,-2.035958426E-3,4.242379325E-2,2.871486119E-2,1.317938668E0,4.600165231E0,8.530476161E0
2.137451170E-1,-1.734173596E-1,-5.340456963E-3,-1.229751110E-1,1.922607422E-3,9.325299944E-2,2.566964286E-2,1.375398908E0,4.709614345E0,8.569808960E0
2.334594730E-1,-2.340093255E-1,2.419853210E-2,-1.423275471E-1,2.376011440E-3,9.051077706E-2,2.902003697E-2,1.274841309E0,4.711323329E0,8.542101179E0
2.531433110E-1,-2.031558156E-1,5.102837086E-2,-1.512777805E-1,1.744297573E-2,5.718340193E-2,3.404235840E-2,1.087071010E0,4.654543195E0,8.427867344E0
2.728271480E-1,-1.509584188E-1,6.452810764E-2,-6.846404076E-2,3.661673410E-2,2.400861468E-2,2.795410156E-2,9.848022461E-1,4.559461321E0,8.381009783E0
2.925415040E-1,1.356748343E-1,5.494022369E-2,-1.905465126E-2,4.422651018E-2,-2.438354492E-2,2.917262486E-2,9.273398263E-1,4.652494158E0,8.359460013E0
3.122253420E-1,1.473080516E-1,1.506563425E-1,-7.987022400E-3,6.203351702E-2,-3.640747070E-2,2.460588728E-2,9.779597691E-1,4.655572074E0,8.336885725E0
3.319396970E-1,2.962195873E-2,5.119347572E-2,-4.862957001E-1,8.775111607E-2,2.233886719E-2,1.304190499E-2,1.016268049E0,4.696616037E0,8.416578020E0
3.516235350E-1,-6.873014569E-2,-7.730770111E-2,-1.074362516E0,1.060115269E-1,1.309923444E-1,2.232360840E-2,1.286130633E0,4.685328892E0,8.439492362E0
3.713073730E-1,2.199724317E-2,7.845461369E-2,-1.112591267E0,1.547110421E-1,2.685634068E-1,1.593453544E-2,1.319647653E0,4.817694528E0,8.492167882E0
3.910217290E-1,2.298355252E-1,7.455396652E-2,-1.333203316E0,2.297385080E-1,2.970254081E-1,2.353995187E-2,1.234826224E0,4.765363421E0,8.142615182E0
